public_selected_id,source,source_license,original_id,original_language,original_label,source_scam_type,mapped_label,scam_type,score,hard_neg_score,selection_reason,original_text
PUBSEL_000001,mendeley_sms_phishing,CC BY 4.0,MEN_001703,English,Smishing,,SCAM,OTP_BANK,16,5,Mendeley smishing with scam-related keywords,Welcome to Paytm payment bank your re verification done successful in your wallet get 1205 cashback click in link and login your paytm <LINK>
PUBSEL_000002,mendeley_sms_phishing,CC BY 4.0,MEN_005032,English,Smishing,,SCAM,OTP_BANK,14,3,Mendeley smishing with scam-related keywords,"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: <LINK>"
PUBSEL_000003,mendeley_sms_phishing,CC BY 4.0,MEN_003653,English,Smishing,,SCAM,OTP_BANK,13,3,Mendeley smishing with scam-related keywords,"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information <LINK> Support"
PUBSEL_000004,mendeley_sms_phishing,CC BY 4.0,MEN_001833,English,Smishing,,SCAM,OTP_BANK,12,6,Mendeley smishing with scam-related keywords,"We have received a request from you for purchasing Paytm Payments Bank FASTag. Total amount to be paid is Rs 250/- (Tag Cost Rs. 100 Security Deposit Rs. 0, Threshold -Rs. 150). In case of any queries, please contact us at <LINK>"
PUBSEL_000005,mendeley_sms_phishing,CC BY 4.0,MEN_005250,English,Smishing,,SCAM,OTP_BANK,12,3,Mendeley smishing with scam-related keywords,"Urgent Message for CIBC Account Holder, Kindly Login to our secure server to check your information�<LINK> pianostudio.com/cibcfullz/Internet Support"
PUBSEL_000006,mendeley_sms_phishing,CC BY 4.0,MEN_001167,English,Smishing,,SCAM,PRIZE_GIFT,12,3,Mendeley smishing with scam-related keywords,We have recalculated your vehicle tax. You are owed �48.84 due to over payment.Click the secure link http:// <PHONE> to claim your refund.
PUBSEL_000007,mendeley_sms_phishing,CC BY 4.0,MEN_000961,English,Smishing,,SCAM,OTP_BANK,12,3,Mendeley smishing with scam-related keywords,"Your Bank of America online account has been suspended, log in to restore <LINK>"
PUBSEL_000008,mendeley_sms_phishing,CC BY 4.0,MEN_002783,English,Smishing,,SCAM,OTP_BANK,11,3,Mendeley smishing with scam-related keywords,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE FOR 1500.00 GBP. If not you please urgently call fraud prevention on <PHONE> or intl <PHONE>. Do not reply by sms <LINK>"
PUBSEL_000009,mendeley_sms_phishing,CC BY 4.0,MEN_003332,English,Smishing,,SCAM,OTP_BANK,11,3,Mendeley smishing with scam-related keywords,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE for 1920.00 GBP If not you please urgently call fraud prevention on <PHONE> or Intl <PHONE>. Do not reply by SMS <LINK>"
PUBSEL_000010,mendeley_sms_phishing,CC BY 4.0,MEN_000869,English,Smishing,,SCAM,OTP_BANK,11,3,Mendeley smishing with scam-related keywords,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE for 1267.00 GBP If not you please urgently call fraud prevention on <PHONE> or Int <PHONE>. Do not reply by SMS <LINK>"
PUBSEL_000011,mendeley_sms_phishing,CC BY 4.0,MEN_002499,English,Smishing,,SCAM,OTP_BANK,11,3,Mendeley smishing with scam-related keywords,"Nationwide has noticed your debit card was recently used on <PHONE>, at APPLE ONLINE STORE for 1976.00 GBP. If not you please urgently call fraud preventaion on <PHONE> or intl <PHONE>. Do not reply by SMS <LINK>"
PUBSEL_000012,mendeley_sms_phishing,CC BY 4.0,MEN_002073,English,Smishing,,SCAM,OTP_BANK,11,2,Mendeley smishing with scam-related keywords,"Update Message to User,Log on to Verity your login and choose your Existing Questions and Answers correctly Click <LINK> om/tdmobile Internet support team."
