id,base_case_id,text,label,scam_type,severity,reason,evidence_span,recommended_action,risk_factor,harm_type,target_group,region_variant,noise_type,source,license,is_synthetic,privacy_level,split,source_url,context_style,quality_note
SELF_000001,SELF_PHISHING_LINK_0001,"Co ke lai rang co nguoi goi dien trong luc o nha mot minh. Nguoi nay gui tin nhan bao don hang giao khong thanh cong va can cap nhat dia chi, noi chuyen rat tu tin va dung nhieu tu ngu giong co quan chinh thuc. Tiep theo ho de nghi co nhap thong tin the de nhan khoan hoan tien. Tin nhan ghi ho so se het han sau 30 phut neu khong xac mih.",SCAM,PHISHING_LINK,HIGH,Dụ bấm link lạ để đăng nhập/cập nhật thông tin và đánh cắp dữ liệu.,<LINK>; bấm link; cập nhật thông tin; đăng nhập,Không bấm link lạ. Mở ứng dụng chính thức hoặc gõ trực tiếp địa chỉ website chính thức.,technical_confusion; urgency; false_promise,credential_theft; privacy_leak; malware_install,elderly,STANDARD,TYPO,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,valid,https://tiengchuong.chinhphu.vn/bo-cong-an-canh-bao-24-thu-doan-lua-dao-tren-khong-gian-mang-113230711094917091.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000002,SELF_JOB_SCAM_0001,"Cô kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này giả danh sàn thương mại điện tử tuyển người xử lý đơn hàng, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ yêu cầu cô nạp trước 300 nghìn để nhận nhiệm vụ đầu tiên. Ban đầu họ cho nhận vài chục nghìn để tạo lòng tin.",SCAM,JOB_SCAM,MEDIUM,"Lừa tuyển cộng tác viên/việc nhẹ lương cao, yêu cầu nạp tiền hoặc làm nhiệm vụ.",việc nhẹ lương cao; nạp tiền; nhiệm vụ; hoàn tiền,Không đóng phí để nhận việc. Kiểm tra thông tin công ty và hợp đồng rõ ràng.,financial_pressure; false_promise; gamification,financial_loss,elderly,STANDARD,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000003,SELF_INVESTMENT_0001,"Bai chia se mo ta mot truong hop nguoi cao tuoi nhan duoc cuoc goi la: nguoi goi gioi thieu app dau tu moi, chi can nap thu so nho la co lai ngay. Sau do ho de nghi bac tang von neu muon rut khoan lai dang treo. Nhom chat co nhieu tai khoan phu hoi thuc bac vao lenh ngay. Gia dinh nghi ngo day la tinh huong lua dao vi noi dung tao ap luc va yeu cau hanh dong lien quan den tien hoac thong tin nhay cam.",SCAM,INVESTMENT,HIGH,"Hứa lợi nhuận cao bất thường, cam kết không rủi ro và yêu cầu nạp tiền.",lợi nhuận cao; cam kết lãi; nạp tiền; chuyên gia hỗ trợ,Không nạp tiền vào sàn/nhóm đầu tư không rõ pháp lý. Hỏi người thân hoặc chuyên gia tài chính.,greed; false_promise; social_proof,financial_loss,elderly,CENTRAL,NO_DIACRITICS,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,ARTICLE_SHARE,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000004,SELF_TRAVEL_COMBO_0001,"Ba ke lai rang co nguoi goi dien trong luc o nha mot minh. Nguoi nay ho gui anh phong dep va danh gia ao de ba tin la chuong trinh that, noi chuyen rat tu tin va dung nhieu tu ngu giong co quan chinh thuc. Tiep theo ho yeu cau ba chuyen khoan dat coc ngay de giu phong. Sau khi nhan coc, nguoi ban co dau hieu ne tranh hoac khoa lien he.",SCAM,TRAVEL_COMBO,MEDIUM,"Rao combo du lịch/khách sạn giá rẻ bất thường, yêu cầu đặt cọc nhanh.",combo giá rẻ; đặt cọc; giữ chỗ; chuyển khoản,"Không đặt cọc qua tài khoản cá nhân. Kiểm tra fanpage, website, giấy phép và đánh giá thật.",false_promise; scarcity; urgency,financial_loss,elderly,SOUTH,NO_DIACRITICS,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000005,SELF_HEALTH_PRODUCT_0001,Bài chia sẻ mô tả một trường hợp người cao tuổi nhận được cuộc gọi lạ: người gọi họ đưa nhiều lời chứng thực từ người lớn tuổi khác để tạo niềm tin. Sau đó họ bảo bác chuyển tiền để nhận suất ưu đãi dành riêng cho người cao tuổi. Nhân viên vây quanh tư vấn khiến bác khó từ chối. Gia đình nghi ngờ đây là tình huống lừa đảo vì nội dung tạo áp lực và yêu cầu hành động liên quan đến tiền hoặc thông tin nhạy cảm.,SCAM,HEALTH_PRODUCT,MEDIUM,Dụ người cao tuổi mua sản phẩm sức khỏe/đa cấp bằng cam kết chữa bệnh hoặc lợi nhuận.,hội thảo miễn phí; thuốc chữa bệnh; đặt cọc; lợi nhuận,Không mua thuốc/sản phẩm sức khỏe không rõ nguồn. Hỏi bác sĩ hoặc người thân trước.,health_anxiety; false_promise; social_proof,financial_loss; health_risk,elderly,CENTRAL,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,ARTICLE_SHARE,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000006,SELF_DEEPFAKE_CALL_0001,"Me ke lai rang co nguoi goi dien trong luc o nha mot minh. Nguoi nay giong noi trong cuoc goi nghe giong con cua me, noi dang gap viec gap, noi chuyen rat tu tin va dung nhieu tu ngu giong co quan chinh thuc. Tiep theo ho bao me khong goi lai vi dang o noi dong nguoi va sap het pin. Toan bo cuoc goi rat ngan, chu yeu tao cam giac cap bach.",SCAM,DEEPFAKE_CALL,HIGH,Dùng cuộc gọi video/giọng nói giống người quen để yêu cầu tiền hoặc thông tin.,video mờ; giọng giống người thân; chuyển gấp; không gọi lại,Gọi lại bằng số quen thuộc hoặc hỏi câu riêng tư để xác minh. Không chuyển tiền trong lúc cuộc gọi chưa rõ.,trust_abuse; urgency; technical_deception,financial_loss,elderly,CENTRAL,NO_DIACRITICS,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000007,SELF_INVESTMENT_0002,"Ba kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này mời ba tham gia nhóm đầu tư nội bộ có chuyên gia đọc lệnh, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ hướng dẫn ba tải app ngoài và gửi ảnh chuyển khoản cho nhóm. Khi ba muốn rút tiền, họ yêu cầu đóng thêm phí verify.",SCAM,INVESTMENT,HIGH,"Hứa lợi nhuận cao bất thường, cam kết không rủi ro và yêu cầu nạp tiền.",lợi nhuận cao; cam kết lãi; nạp tiền; chuyên gia hỗ trợ,Không nạp tiền vào sàn/nhóm đầu tư không rõ pháp lý. Hỏi người thân hoặc chuyên gia tài chính.,greed; false_promise; social_proof,financial_loss,elderly,SOUTH,CODE_SWITCHING,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000008,SELF_ROMANCE_SCAM_0001,"Bác kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này họ nhắn tin nhiều tuần, gọi bác bằng lời thân mật để tạo lòng tin, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ gửi số tài khoản lạ và hứa sẽ hoàn lại gấp đôi khi về nước. Câu chuyện thay đổi liên tục nhưng luôn dẫn đến việc cần tiền.",SCAM,ROMANCE_SCAM,MEDIUM,"Lợi dụng tình cảm/lòng tin để xin tiền, quà hoặc thông tin cá nhân.",quen qua mạng; gửi quà; phí hải quan; cần tiền gấp,Không chuyển tiền cho người quen qua mạng chưa gặp ngoài đời. Hỏi người thân trước khi quyết định.,trust_abuse; emotional_manipulation; false_promise,financial_loss; psychological_pressure,elderly,STANDARD,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000009,SELF_HEALTH_PRODUCT_0002,"Cô kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này người tư vấn nói sản phẩm có thể cải thiện nhiều bệnh mãn tính, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ yêu cầu cô đặt cọc bộ sản phẩm ngay trong buổi tư vấn. Thông tin về công dụng được nói quá mức và thiếu căn cứ y khoa.",SCAM,HEALTH_PRODUCT,MEDIUM,Dụ người cao tuổi mua sản phẩm sức khỏe/đa cấp bằng cam kết chữa bệnh hoặc lợi nhuận.,hội thảo miễn phí; thuốc chữa bệnh; đặt cọc; lợi nhuận,Không mua thuốc/sản phẩm sức khỏe không rõ nguồn. Hỏi bác sĩ hoặc người thân trước.,health_anxiety; false_promise; social_proof,financial_loss; health_risk,elderly,STANDARD,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000010,SELF_HEALTH_PRODUCT_0003,Bai chia se mo ta mot truong hop nguoi cao tuoi nhan duoc cuoc goi la: nguoi goi moi ba tham gia hoi thao suc khoe mien phi tai khach san. Sau do ho yeu cau ba dat coc bo san pham ngay trong buoi tu van. Nhan vien vay quanh tu van khien ba kho tu choi. Gia dinh nghi ngo day la tinh huong lua dao vi noi dung tao ap luc va yeu cau hanh dong lien quan den tien hoac thong tin nhay cam.,SCAM,HEALTH_PRODUCT,MEDIUM,Dụ người cao tuổi mua sản phẩm sức khỏe/đa cấp bằng cam kết chữa bệnh hoặc lợi nhuận.,hội thảo miễn phí; thuốc chữa bệnh; đặt cọc; lợi nhuận,Không mua thuốc/sản phẩm sức khỏe không rõ nguồn. Hỏi bác sĩ hoặc người thân trước.,health_anxiety; false_promise; social_proof,financial_loss; health_risk,elderly,SOUTH,NO_DIACRITICS,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,ARTICLE_SHARE,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
