id,public_selected_id,source,source_license,original_label,mapped_label,scam_type,original_text,vietnamese_adapted_text,adaptation_note,review_status
PUBVI_FIX_000001,PUBSEL_000001,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,Welcome to Paytm payment bank your re verification done successful in your wallet get 1205 cashback click in link and login your paytm <LINK>,"Ví/tài khoản thanh toán của cô/chú đã xác minh thành công. Để nhận hoàn tiền/cashback, hãy đăng nhập qua <LINK>.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000002,PUBSEL_000002,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: <LINK>","Cảnh báo: tài khoản ngân hàng/trực tuyến của bác đã bị tạm khóa. Để mở lại, hãy đăng nhập hoặc xác minh qua <LINK>.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000003,PUBSEL_000003,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information <LINK> Support",Cô cần đăng nhập vào máy chủ bảo mật qua <LINK> để xác nhận thông tin đăng nhập/tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000004,PUBSEL_000004,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"We have received a request from you for purchasing Paytm Payments Bank FASTag. Total amount to be paid is Rs 250/- (Tag Cost Rs. 100 Security Deposit Rs. 0, Threshold -Rs. 150). In case of any queries, please contact us at <LINK>",Thông báo từ cơ quan/dịch vụ cho biết chú có khoản hỗ trợ hoặc hoàn tiền Rs 250. Hãy bấm <LINK> để điền thông tin/nhận tiền.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000005,PUBSEL_000005,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Urgent Message for CIBC Account Holder, Kindly Login to our secure server to check your information�<LINK> pianostudio.com/cibcfullz/Internet Support",Ông/bà cần đăng nhập vào máy chủ bảo mật qua <LINK> để xác nhận thông tin đăng nhập/tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000006,PUBSEL_000006,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,We have recalculated your vehicle tax. You are owed �48.84 due to over payment.Click the secure link <LINK> to claim your refund.,Thông báo từ cơ quan/dịch vụ cho biết cô/chú có khoản hỗ trợ hoặc hoàn tiền �48.84. Hãy bấm <LINK> để điền thông tin/nhận tiền.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000007,PUBSEL_000007,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Your Bank of America online account has been suspended, log in to restore <LINK>","Cảnh báo: tài khoản ngân hàng/trực tuyến của bác đã bị tạm khóa. Để mở lại, hãy đăng nhập hoặc xác minh qua <LINK>.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000008,PUBSEL_000008,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE FOR 1500.00 GBP. If not you please urgently call fraud prevention on <PHONE> or intl <PHONE>. Do not reply by sms <LINK>","Ngân hàng thông báo thẻ/tài khoản của cô vừa phát sinh giao dịch 1500.00 GBP. Nếu không phải cô thực hiện, hãy bấm <LINK> hoặc gọi <PHONE> để kiểm tra.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000009,PUBSEL_000009,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE for 1920.00 GBP If not you please urgently call fraud prevention on <PHONE> or Intl <PHONE>. Do not reply by SMS <LINK>","Ngân hàng thông báo thẻ/tài khoản của chú vừa phát sinh giao dịch 1920.00 GBP. Nếu không phải chú thực hiện, hãy bấm <LINK> hoặc gọi <PHONE> để kiểm tra.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000010,PUBSEL_000010,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Nationwide has noticed your debit card was recently used on <PHONE>:04:43, at APPLE ONLINE STORE for 1267.00 GBP If not you please urgently call fraud prevention on <PHONE> or Int <PHONE>. Do not reply by SMS <LINK>","Ngân hàng thông báo thẻ/tài khoản của ông/bà vừa phát sinh giao dịch 1267.00 GBP. Nếu không phải ông/bà thực hiện, hãy bấm <LINK> hoặc gọi <PHONE> để kiểm tra.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000011,PUBSEL_000011,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Nationwide has noticed your debit card was recently used on <PHONE>, at APPLE ONLINE STORE for 1976.00 GBP. If not you please urgently call fraud preventaion on <PHONE> or intl <PHONE>. Do not reply by SMS <LINK>","Ngân hàng thông báo thẻ/tài khoản của cô/chú vừa phát sinh giao dịch 1976.00 GBP. Nếu không phải cô/chú thực hiện, hãy bấm <LINK> hoặc gọi <PHONE> để kiểm tra.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000012,PUBSEL_000012,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"Update Message to User,Log on to Verity your login and choose your Existing Questions and Answers correctly Click <LINK> om/tdmobile Internet support team.",Bác cần đăng nhập vào máy chủ bảo mật qua <LINK> để xác nhận thông tin đăng nhập/tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000013,PUBSEL_000013,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C <LINK> LCCLTD POBOX 4403LDNW1A7RW18","Chúc mừng cô, cô được thông báo trúng thưởng/nhận quà £100,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000014,PUBSEL_000014,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PAYMENT_SCAM,URGENT: IRELAND GOV has issued a payment of 350 � to all residents as part of its promise to battle COVID 19. Tap here to apply: <LINK>,Thông báo từ cơ quan/dịch vụ cho biết chú có khoản hỗ trợ hoặc hoàn tiền. Hãy bấm <LINK> để điền thông tin/nhận tiền.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000015,PUBSEL_000015,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C <LINK>","Chúc mừng ông/bà, ông/bà được thông báo trúng thưởng/nhận quà £100,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000016,PUBSEL_000016,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,We regret to inform you that your NAB card is now locked. To unlock please update security details at <LINK>,"Cảnh báo: tài khoản ngân hàng/trực tuyến của cô/chú đã bị tạm khóa. Để mở lại, hãy đăng nhập hoặc xác minh qua <LINK>.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000017,PUBSEL_000017,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 <LINK> <PHONE>","Chúc mừng bác, bác được thông báo trúng thưởng/nhận quà £250. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000018,PUBSEL_000018,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"Congratulations, Your entry into our contest last month made you a WINNER! Goto <LINK> claim your prize! You have 24 hours to claim","Chúc mừng cô, cô được thông báo trúng thưởng/nhận quà. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000019,PUBSEL_000019,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,A transaction of AUD 590.3 was made with your bank account on 08/02/17 11:17:37 if unauthorised follow this link <LINK>,"Ngân hàng thông báo thẻ/tài khoản của chú vừa phát sinh giao dịch AUD 590.3. Nếu không phải chú thực hiện, hãy bấm <LINK> hoặc gọi <PHONE> để kiểm tra.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000020,PUBSEL_000020,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,BMO have noticed unusual activites on your online account. You are required to verify your account details.<LINK>,Ông/bà cần đăng nhập vào máy chủ bảo mật qua <LINK> để xác nhận thông tin đăng nhập/tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000021,PUBSEL_000021,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,Here is your discount code RP176781. To stop further messages reply stop. <LINK> Customer Services <PHONE>,Cô/chú nhận được mã giảm giá/voucher. Hãy truy cập <LINK> để sử dụng ưu đãi hoặc kiểm tra chi tiết.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000022,PUBSEL_000022,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"""For the most sparkling shopping breaks from 45 per person; call <PHONE> or visit <LINK>",Bác nhận được tin nhắn yêu cầu xác minh tài khoản hoặc đăng nhập qua <LINK> để tránh khóa tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000023,PUBSEL_000023,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"GOV.UK ALERT CORONAVIRUS It has come to our attention that you have been out of the house more than once. Due to this irresponsible behaviour, we are issuing you a formal warning and �250 fine. If this continues, the fine could increase to a maximum of �5000 and/or an arrest. Payment will be taken automatically out of your account. Call <PHONE> for any enquiries or to appeal.","Chào mẹ/ba, điện thoại con bị hỏng nên con dùng số tạm. Con không gọi được, mẹ/ba nhắn WhatsApp cho con qua số/link này nhé: <LINK>.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000024,PUBSEL_000024,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.4,00,000 prize GUARANTEED. Call <PHONE>. Claim Code LUCKY52. Valid 12hrs only.","Chúc mừng chú, chú được thông báo trúng thưởng/nhận quà Rs.4,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000025,PUBSEL_000025,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP02. Valid 12hrs only.","Chúc mừng ông/bà, ông/bà được thông báo trúng thưởng/nhận quà Rs.2,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000026,PUBSEL_000026,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP82. Valid 12hrs only.","Chúc mừng cô/chú, cô/chú được thông báo trúng thưởng/nhận quà Rs.5,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000027,PUBSEL_000027,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.6,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP52. Valid 12hrs only.","Chúc mừng bác, bác được thông báo trúng thưởng/nhận quà Rs.6,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000028,PUBSEL_000028,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.10,00,000 prize GUARANTEED. Call <PHONE>. Claim Code K52. Valid 12hrs only.","Chúc mừng cô, cô được thông báo trúng thưởng/nhận quà Rs.10,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000029,PUBSEL_000029,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.8,00,000 prize GUARANTEED. Call <PHONE>. Claim Code N32. Valid 12hrs only.","Chúc mừng chú, chú được thông báo trúng thưởng/nhận quà Rs.8,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000030,PUBSEL_000030,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.7,00,000 prize GUARANTEED. Call <PHONE>. Claim Code L92 Valid 12hrs only.","Chúc mừng ông/bà, ông/bà được thông báo trúng thưởng/nhận quà Rs.7,00,000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000031,PUBSEL_000031,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,URGENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call <PHONE>. Claim Code K52. Valid 12hrs only. 150ppm,"Chúc mừng cô/chú, cô/chú được thông báo trúng thưởng/nhận quà £1000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000032,PUBSEL_000032,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call <PHONE>. Claim code K61. Valid 12hours only,"Chúc mừng bác, bác được thông báo trúng thưởng/nhận quà £900. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000033,PUBSEL_000033,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call <PHONE>. Claim code KL341. Valid 12 hours only.,"Chúc mừng cô, cô được thông báo trúng thưởng/nhận quà £900. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000034,PUBSEL_000034,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call <PHONE>. Claim code S89. Valid 12hrs only,"Chúc mừng chú, chú được thông báo trúng thưởng/nhận quà £900. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000035,PUBSEL_000035,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,We have identified some unusual activity on your Online Banking. Log in via the secure link http:/<PHONE>:81/default.aspx�to avoid account suspension.,Ông/bà nhận được tin nhắn yêu cầu xác minh tài khoản hoặc đăng nhập qua <LINK> để tránh khóa tài khoản.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000036,PUBSEL_000036,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call <PHONE> to claim TS&Cs <LINK> cost£3.75max,"Chúc mừng cô/chú, cô/chú được thông báo trúng thưởng/nhận quà £3.75. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000037,PUBSEL_000037,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call <PHONE> Claim code K52 Valid 12hrs 150p pm,"Chúc mừng bác, bác được thông báo trúng thưởng/nhận quà £1000. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000038,PUBSEL_000038,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,FAKE_POLICE,"(Help-Center Canada) You received a Transfer from The Government due to the CoronaVirus pandemic, Click:<LINK> to fill out your Application.",Thông báo từ cơ quan/dịch vụ cho biết cô có khoản hỗ trợ hoặc hoàn tiền. Hãy bấm <LINK> để điền thông tin/nhận tiền.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000039,PUBSEL_000039,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,OTP_BANK,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call <PHONE>. Claim code KL345.,"Chúc mừng chú, chú được thông báo trúng thưởng/nhận quà £900. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000040,PUBSEL_000040,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,HMRC GOVUK:0ur records show that your tax refund of �398.90 can now be claime. Please continue via:<LINK> claim your refund.,Thông báo từ cơ quan/dịch vụ cho biết ông/bà có khoản hỗ trợ hoặc hoàn tiền �398.90. Hãy bấm <LINK> để điền thông tin/nhận tiền.,"Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000041,PUBSEL_000041,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PHISHING_LINK,"Your K.Y.C has been updated successfully, you will get 1205 cashback in your wallet, To get cashback click here Link <LINK>","Chúc mừng cô/chú, cô/chú được thông báo trúng thưởng/nhận quà. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000042,PUBSEL_000042,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"In the Open Lucky Draw Contest And You Are The Winner 0f Tata Saafari (12,60000). Contact-<PHONE>. More Information <LINK>","Chúc mừng bác, bác được thông báo trúng thưởng/nhận quà. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000043,PUBSEL_000043,mendeley_sms_phishing,CC BY 4.0,Smishing,SCAM,PRIZE_GIFT,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit <LINK>","Chúc mừng cô, cô được thông báo trúng thưởng/nhận quà. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
PUBVI_FIX_000044,PUBSEL_000044,mendeley_sms_phishing,CC BY 4.0,smishing,SCAM,PRIZE_GIFT,"WIN: We have a winner! Mr. T. Tilo won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit <LINK>","Chúc mừng chú, chú được thông báo trúng thưởng/nhận quà. Hãy truy cập <LINK> hoặc nhắn từ khóa CLAIM để nhận phần thưởng.","Meaning-preserving localized adaptation, not a word-for-word translation.",auto_adapted_needs_quick_human_review
